type,amount,category,description,date
income,4743.87,Gift,Birthday gift,2024-12-12T03:10:00
expense,117.52,Utilities,Electricity bill,2023-02-14T01:56:00
income,4433.97,Freelance,Stock dividends,2023-12-18T06:38:00
expense,162.93,Rent,,2024-09-25T16:09:00
expense,209.07,Rent,Bus fare,2023-12-31T13:55:00
income,1554.26,Gift,Project payment,2023-09-09T15:41:00
income,1720.13,Freelance,Birthday gift,2023-09-30T21:43:00
expense,80.93,Food,Doctor visit,2024-12-29T16:16:00
expense,158.86,Healthcare,Doctor visit,2023-07-03T11:59:00
expense,253.62,Rent,Monthly rent,2023-10-27T05:49:00
income,3232.22,Bonus,Annual bonus,2023-12-16T11:12:00
expense,230.51,Food,,2024-11-15T08:10:00
expense,169.48,Misc,Bus fare,2024-09-04T22:38:00
expense,239.61,Food,Grocery shopping,2024-06-23T04:59:00
income,4167.08,Bonus,Stock dividends,2023-07-25T12:09:00
income,3753.53,Salary,Stock dividends,2024-02-25T21:51:00
income,2407.93,Investment,Project payment,2024-08-25T11:09:00
income,3716.73,Salary,Monthly salary,2024-08-03T22:11:00
income,603.83,Investment,Annual bonus,2024-05-02T23:03:00
expense,118.23,Transportation,Doctor visit,2024-08-21T20:55:00
expense,154.81,Rent,Grocery shopping,2023-11-04T11:33:00
expense,483.28,Misc,Doctor visit,2023-03-29T14:44:00
income,622.66,Salary,Project payment,2024-01-04T11:30:00
income,3426.63,Investment,Stock dividends,2024-11-09T13:12:00
expense,137.51,Misc,Electricity bill,2023-05-06T00:36:00
income,1099.87,Investment,Project payment,2023-12-25T04:04:00
income,4096.64,Bonus,Annual bonus,2024-01-12T10:55:00
income,1951.66,Bonus,Annual bonus,2024-06-01T11:58:00
income,4625.35,Investment,Monthly salary,2023-09-23T18:24:00
income,2523.77,Salary,Monthly salary,2024-12-31T18:03:00
expense,405.24,Transportation,Grocery shopping,2023-12-01T06:25:00
expense,28.17,Entertainment,Electricity bill,2023-10-31T03:26:00
expense,123.28,Food,,2024-11-14T13:40:00
expense,380.52,Misc,Grocery shopping,2023-10-31T23:00:00
expense,73.94,Misc,,2024-01-18T05:33:00
income,2220.83,Bonus,Project payment,2024-07-20T22:12:00
income,3886.66,Freelance,Birthday gift,2024-07-24T05:30:00
expense,187.59,Transportation,Doctor visit,2024-10-13T17:33:00
income,4255.93,Gift,Birthday gift,2023-10-08T11:12:00
expense,87.98,Rent,Doctor visit,2023-08-29T18:24:00
expense,22.03,Rent,Bus fare,2023-05-13T13:46:00
income,3812.24,Freelance,Annual bonus,2024-11-10T20:09:00
income,2629.16,Investment,Birthday gift,2024-07-18T09:31:00
income,4952.98,Salary,Project payment,2024-04-22T07:12:00
expense,37.94,Healthcare,Movie tickets,2024-05-04T11:58:00
income,713.32,Investment,Birthday gift,2024-04-13T12:44:00
income,1109.72,Salary,Project payment,2024-01-20T02:53:00
income,4504.5,Freelance,Project payment,2024-08-31T23:28:00
expense,406.92,Food,Bus fare,2023-07-19T06:27:00
income,3076.8,Salary,Stock dividends,2023-01-18T01:24:00
expense,249.65,Rent,Bus fare,2023-06-26T10:37:00
expense,224.37,Food,Doctor visit,2024-02-05T19:14:00
income,1803.29,Bonus,Birthday gift,2024-04-19T02:19:00
income,4404.86,Gift,Birthday gift,2024-09-29T13:25:00
expense,204.63,Healthcare,Electricity bill,2023-03-26T20:31:00
income,1499.02,Salary,Birthday gift,2023-02-19T11:16:00
expense,478.77,Rent,Bus fare,2023-03-23T22:55:00
income,2780.7,Investment,Birthday gift,2023-05-20T22:48:00
expense,177.99,Transportation,,2024-08-15T06:27:00
expense,122.07,Utilities,Electricity bill,2023-07-03T17:05:00
income,2345.05,Freelance,Project payment,2024-08-06T19:52:00
income,1180.7,Salary,,2024-12-25T10:23:00
income,3220.53,Gift,,2024-12-13T22:05:00
expense,24.61,Transportation,Doctor visit,2023-11-11T20:13:00
income,631.3,Bonus,Annual bonus,2024-02-09T04:05:00
income,2360.15,Gift,Birthday gift,2023-09-25T18:03:00
income,3474.76,Bonus,Annual bonus,2023-03-27T10:51:00
expense,418.56,Entertainment,,2024-02-27T08:33:00
income,3474.49,Freelance,Birthday gift,2024-08-05T21:49:00
expense,378.26,Misc,Bus fare,2024-03-29T14:08:00
expense,107.65,Utilities,Monthly rent,2024-11-02T04:11:00
expense,211.53,Misc,Movie tickets,2024-09-26T14:47:00
income,4310.91,Freelance,Monthly salary,2023-06-24T15:15:00
expense,480.28,Utilities,Electricity bill,2023-02-02T22:03:00
expense,323.78,Healthcare,Movie tickets,2024-10-31T05:45:00
income,1009.86,Gift,Birthday gift,2023-07-11T16:32:00
expense,390.4,Utilities,Movie tickets,2023-01-06T12:00:00
income,4137.35,Investment,Project payment,2024-06-06T01:05:00
expense,449.2,Entertainment,,2023-01-04T21:00:00
expense,39.2,Utilities,Doctor visit,2023-12-21T00:45:00
income,2092.96,Salary,Stock dividends,2024-10-12T09:27:00
income,2821.53,Bonus,Annual bonus,2024-08-29T16:42:00
expense,290.1,Food,Bus fare,2023-08-20T12:18:00
income,1623.81,Investment,Stock dividends,2023-09-12T21:10:00
income,4846.86,Bonus,Birthday gift,2024-05-31T23:28:00
expense,380.17,Entertainment,Grocery shopping,2023-07-06T00:06:00
income,2431.16,Salary,Project payment,2023-03-31T09:52:00
expense,213.57,Utilities,Bus fare,2023-06-09T22:59:00
expense,114.18,Rent,,2023-05-01T23:07:00
expense,346.79,Misc,Monthly rent,2024-12-23T13:12:00
income,1901.33,Investment,Monthly salary,2023-10-07T17:17:00
expense,119.61,Food,Doctor visit,2024-08-22T04:30:00
expense,293.81,Transportation,Electricity bill,2023-10-01T15:41:00
expense,114.04,Rent,Doctor visit,2024-12-20T09:07:00
expense,495.2,Entertainment,Bus fare,2024-11-07T10:19:00
expense,205.13,Rent,Bus fare,2023-06-23T08:25:00
expense,383.69,Rent,Movie tickets,2023-06-05T02:19:00
income,742.34,Bonus,Project payment,2024-06-16T20:52:00
expense,145.87,Misc,Movie tickets,2023-05-27T21:28:00
expense,439.46,Entertainment,Doctor visit,2024-01-07T22:58:00
income,3670.48,Bonus,,2023-10-12T10:08:00
income,1050.72,Freelance,,2024-02-06T11:01:00
expense,12.81,Entertainment,Movie tickets,2024-02-12T04:09:00
expense,73.98,Utilities,Monthly rent,2023-08-07T10:03:00
expense,386.6,Utilities,Monthly rent,2023-01-07T01:08:00
expense,213.18,Healthcare,Doctor visit,2023-05-24T05:02:00
income,2185.03,Gift,Stock dividends,2023-10-03T17:51:00
income,2876.02,Investment,Monthly salary,2024-01-06T16:26:00
income,618.09,Gift,Monthly salary,2023-01-12T23:21:00
income,2256.82,Bonus,Project payment,2024-06-19T15:15:00
expense,262.26,Food,Doctor visit,2023-03-31T12:47:00
income,2468.64,Freelance,Annual bonus,2024-12-05T21:57:00
income,1485.21,Freelance,,2023-09-05T18:35:00
income,2542.37,Salary,Annual bonus,2023-12-20T04:37:00
income,4551.9,Investment,Monthly salary,2023-06-22T08:54:00
income,1548.8,Bonus,Stock dividends,2023-07-23T10:37:00
income,1053.9,Salary,Project payment,2024-01-25T10:04:00
expense,183.69,Utilities,Grocery shopping,2024-12-08T02:02:00
expense,81.32,Healthcare,Grocery shopping,2023-03-30T00:47:00
income,2352.34,Salary,Project payment,2023-08-30T05:42:00
expense,144.38,Utilities,Doctor visit,2024-02-11T18:53:00
expense,300.81,Misc,,2023-11-19T00:41:00
expense,87.88,Utilities,,2024-04-24T03:16:00
expense,488.29,Entertainment,Grocery shopping,2024-12-01T13:00:00
income,2485.74,Salary,Birthday gift,2023-02-24T07:51:00
income,991.31,Investment,Annual bonus,2024-10-12T09:59:00
income,4947.44,Gift,,2023-08-16T13:27:00
expense,66.79,Entertainment,Monthly rent,2024-11-26T02:44:00
expense,222.58,Healthcare,Bus fare,2023-10-03T03:21:00
income,1115.46,Investment,Birthday gift,2023-06-13T01:26:00
expense,386.52,Utilities,Electricity bill,2023-11-06T23:00:00
expense,427.64,Rent,Electricity bill,2023-03-28T16:19:00
expense,286.84,Entertainment,Movie tickets,2023-07-01T22:52:00
expense,454.64,Transportation,,2023-11-20T02:55:00
expense,321.0,Food,,2024-02-10T06:30:00
expense,151.11,Transportation,Movie tickets,2023-05-06T11:03:00
expense,247.27,Rent,Bus fare,2024-09-06T16:02:00
income,1464.28,Freelance,Monthly salary,2024-09-09T12:09:00
expense,19.5,Entertainment,Bus fare,2023-09-12T22:20:00
income,4495.17,Investment,Birthday gift,2023-09-10T19:17:00
expense,138.69,Transportation,,2023-11-05T13:01:00
expense,47.14,Entertainment,Bus fare,2023-11-30T20:32:00
expense,460.56,Misc,Grocery shopping,2023-12-08T00:06:00
expense,53.58,Rent,Grocery shopping,2024-05-08T23:38:00
income,1364.77,Bonus,Project payment,2024-03-12T20:16:00
expense,292.51,Rent,Bus fare,2023-12-21T07:58:00
expense,284.62,Transportation,Monthly rent,2024-02-05T20:17:00
income,2645.86,Bonus,Stock dividends,2023-10-25T06:31:00
income,4035.26,Gift,Annual bonus,2024-03-24T15:20:00
expense,18.69,Healthcare,Electricity bill,2024-05-26T15:16:00
income,3223.78,Bonus,Stock dividends,2023-02-23T10:55:00
income,3585.84,Freelance,Project payment,2023-12-22T15:17:00
income,2750.57,Gift,Annual bonus,2024-02-26T11:36:00
income,4345.12,Freelance,Project payment,2023-10-23T00:04:00
income,4587.36,Bonus,Project payment,2023-08-04T21:18:00
income,1717.4,Investment,Monthly salary,2023-05-25T22:33:00
income,1703.58,Freelance,Monthly salary,2023-11-16T11:51:00
expense,103.72,Healthcare,,2023-12-14T15:43:00
expense,244.92,Healthcare,Bus fare,2024-12-27T17:35:00
expense,67.44,Utilities,Monthly rent,2024-08-20T02:18:00
expense,94.52,Food,Monthly rent,2024-01-13T10:54:00
income,1109.67,Bonus,,2023-09-17T14:04:00
income,2413.38,Freelance,Annual bonus,2024-11-18T08:23:00
expense,196.8,Entertainment,Bus fare,2023-06-08T17:56:00
income,652.63,Gift,Stock dividends,2023-03-19T15:52:00
income,3594.59,Gift,Annual bonus,2023-01-23T23:07:00
income,1432.28,Salary,Monthly salary,2024-06-23T01:56:00
income,2519.23,Gift,,2023-09-12T20:50:00
expense,286.62,Entertainment,Movie tickets,2024-08-06T04:49:00
expense,390.31,Misc,Movie tickets,2024-03-28T16:18:00
income,676.83,Bonus,,2023-08-03T23:12:00
expense,9.37,Misc,Bus fare,2024-11-27T14:57:00
expense,143.37,Entertainment,Movie tickets,2023-07-17T18:56:00
income,3444.6,Salary,Monthly salary,2023-04-25T20:01:00
expense,332.41,Entertainment,Grocery shopping,2023-05-08T03:05:00
expense,112.8,Misc,Monthly rent,2024-04-24T02:17:00
income,1752.37,Gift,Annual bonus,2023-11-08T23:15:00
income,3806.69,Freelance,Annual bonus,2024-06-08T15:53:00
expense,41.81,Entertainment,Electricity bill,2024-06-19T14:10:00
expense,310.76,Food,Bus fare,2024-03-04T13:11:00
expense,439.11,Utilities,Doctor visit,2024-06-29T01:02:00
expense,378.11,Rent,,2023-09-17T00:49:00
income,4570.18,Salary,Birthday gift,2023-05-23T15:10:00
expense,15.69,Entertainment,Grocery shopping,2023-10-08T02:39:00
income,3613.19,Salary,,2023-03-12T00:48:00
income,2450.81,Gift,Stock dividends,2024-02-03T22:32:00
expense,403.19,Rent,Monthly rent,2023-10-23T07:47:00
expense,413.61,Rent,Electricity bill,2023-09-06T14:49:00
expense,149.15,Rent,Doctor visit,2024-07-24T22:40:00
expense,363.51,Healthcare,Bus fare,2024-02-24T03:51:00
expense,274.2,Misc,Electricity bill,2023-07-26T19:27:00
expense,222.42,Misc,Electricity bill,2024-07-25T16:00:00
income,1773.79,Salary,,2024-04-06T06:48:00
income,3611.05,Bonus,Annual bonus,2023-05-29T01:00:00
expense,148.13,Healthcare,Grocery shopping,2023-01-19T08:24:00
expense,24.72,Utilities,Bus fare,2024-08-26T03:32:00
expense,317.31,Transportation,Doctor visit,2023-04-30T20:16:00
income,735.33,Gift,,2023-08-30T00:08:00
income,2339.22,Investment,Annual bonus,2023-08-24T01:38:00
expense,51.57,Rent,Doctor visit,2024-11-14T14:33:00
income,4966.35,Freelance,Project payment,2023-04-10T18:20:00
income,3818.73,Gift,Stock dividends,2024-10-05T19:26:00
income,2663.05,Gift,Birthday gift,2023-08-16T11:41:00
expense,402.31,Rent,,2023-02-08T21:35:00
income,3474.29,Investment,Project payment,2024-09-15T18:37:00
income,2292.85,Freelance,,2023-02-27T21:50:00
expense,480.96,Utilities,,2023-08-01T10:34:00
expense,258.36,Healthcare,Grocery shopping,2024-03-22T16:08:00
income,4693.89,Freelance,Project payment,2024-09-06T12:23:00
income,2778.64,Salary,Stock dividends,2024-07-18T22:03:00
income,3972.35,Bonus,Monthly salary,2024-05-31T22:56:00
income,3408.74,Gift,,2024-12-23T23:43:00
income,3462.22,Gift,Stock dividends,2024-03-05T11:41:00
income,4334.22,Gift,,2024-04-05T03:57:00
income,4915.41,Salary,Annual bonus,2023-01-23T17:39:00
expense,389.49,Transportation,Bus fare,2023-07-13T09:46:00
income,4579.38,Bonus,Monthly salary,2023-11-02T12:29:00
income,4149.22,Investment,Annual bonus,2023-07-30T03:47:00
income,1517.68,Bonus,Stock dividends,2024-04-20T12:39:00
expense,388.89,Entertainment,Bus fare,2023-01-29T10:30:00
expense,316.31,Entertainment,Bus fare,2023-06-26T11:56:00
income,2584.56,Gift,Annual bonus,2024-10-03T06:37:00
income,2553.45,Investment,Monthly salary,2023-05-18T01:34:00
expense,254.04,Food,Bus fare,2024-02-09T03:57:00
expense,47.49,Rent,Movie tickets,2024-06-26T02:20:00
expense,492.28,Transportation,Bus fare,2023-10-23T21:32:00
expense,52.53,Entertainment,Grocery shopping,2023-03-16T19:41:00
expense,336.52,Rent,,2024-10-19T22:07:00
expense,268.16,Rent,Doctor visit,2024-01-29T13:45:00
income,3411.42,Gift,Monthly salary,2024-07-29T01:02:00
income,4699.35,Freelance,Birthday gift,2024-03-07T03:25:00
income,4861.46,Salary,Stock dividends,2023-10-04T22:39:00
expense,18.58,Healthcare,Movie tickets,2023-02-26T14:54:00
expense,102.32,Entertainment,Monthly rent,2024-11-04T07:02:00
expense,323.45,Healthcare,Bus fare,2023-06-22T13:45:00
expense,12.84,Food,Grocery shopping,2024-10-12T21:33:00
income,3752.99,Investment,,2024-07-18T15:23:00
expense,253.49,Entertainment,,2024-05-26T10:14:00
income,2687.43,Investment,Monthly salary,2024-04-22T07:54:00
income,4326.36,Salary,Project payment,2024-03-27T05:32:00
income,2933.47,Bonus,Stock dividends,2024-03-04T17:14:00
expense,277.41,Transportation,Electricity bill,2023-11-30T21:22:00
income,3580.63,Freelance,,2024-06-24T19:07:00
income,1119.04,Gift,Birthday gift,2024-10-20T02:37:00
expense,407.34,Transportation,Grocery shopping,2024-06-07T01:31:00
expense,9.87,Food,Grocery shopping,2023-02-18T20:02:00
expense,359.19,Healthcare,,2024-07-09T08:06:00
income,3550.91,Salary,,2023-07-10T01:37:00
expense,242.1,Healthcare,Grocery shopping,2024-03-07T19:34:00
income,1808.78,Investment,Monthly salary,2023-02-13T20:29:00
income,3115.55,Gift,,2024-01-31T17:44:00
expense,453.83,Healthcare,Grocery shopping,2024-09-08T09:59:00
income,2570.27,Gift,Birthday gift,2023-04-25T19:18:00
expense,132.35,Healthcare,Monthly rent,2024-05-16T18:38:00
income,4973.33,Freelance,,2023-12-06T03:04:00
income,4986.31,Salary,Project payment,2023-08-11T17:36:00
income,1953.96,Salary,Annual bonus,2023-05-06T21:37:00
income,3437.98,Bonus,Monthly salary,2024-01-11T01:41:00
expense,380.02,Transportation,Doctor visit,2023-09-18T18:21:00
income,1192.86,Investment,,2024-06-07T08:37:00
income,4012.74,Bonus,,2023-12-10T05:09:00
expense,117.65,Entertainment,Bus fare,2024-03-14T10:25:00
income,2340.61,Investment,Project payment,2023-01-18T20:59:00
income,4683.85,Investment,Project payment,2024-04-17T13:32:00
income,4026.49,Salary,,2023-10-04T17:55:00
expense,17.26,Misc,Electricity bill,2024-10-25T08:46:00
expense,221.41,Rent,Bus fare,2024-04-13T11:13:00
income,794.41,Gift,Project payment,2024-08-09T08:25:00
income,3929.53,Salary,Monthly salary,2024-01-13T09:15:00
expense,237.84,Transportation,Doctor visit,2024-09-24T04:09:00
expense,168.63,Healthcare,Grocery shopping,2024-09-10T02:14:00
expense,109.09,Food,Grocery shopping,2024-06-14T12:12:00
expense,65.24,Rent,Electricity bill,2023-12-03T02:07:00
expense,190.39,Utilities,Monthly rent,2024-01-17T09:55:00
income,3654.04,Salary,Annual bonus,2024-10-11T05:16:00
income,1337.13,Gift,Birthday gift,2024-11-26T17:29:00
income,4778.1,Investment,Birthday gift,2023-08-14T11:14:00
income,4887.16,Salary,,2024-02-24T23:37:00
income,1078.72,Bonus,Annual bonus,2023-04-20T06:19:00
expense,250.16,Entertainment,Doctor visit,2024-05-13T17:55:00
income,2279.63,Freelance,Monthly salary,2023-10-07T15:31:00
expense,77.61,Misc,Doctor visit,2024-03-09T22:55:00
income,2722.18,Investment,Birthday gift,2024-07-02T18:26:00
income,712.08,Salary,,2023-03-13T09:15:00
expense,420.45,Misc,,2024-06-21T03:45:00
expense,403.72,Transportation,Movie tickets,2023-11-25T12:10:00
expense,445.81,Healthcare,Doctor visit,2023-01-21T04:49:00
expense,89.19,Misc,Doctor visit,2024-06-19T22:25:00
income,1970.44,Freelance,,2023-12-25T03:06:00
expense,454.2,Rent,Grocery shopping,2024-11-22T05:49:00
income,3997.48,Investment,Stock dividends,2023-04-04T07:08:00
expense,180.07,Entertainment,Bus fare,2024-03-04T21:28:00
expense,423.53,Transportation,,2023-02-02T03:16:00
income,2772.0,Freelance,Birthday gift,2024-04-15T12:36:00
income,2024.37,Salary,Annual bonus,2023-07-11T07:27:00
expense,70.55,Healthcare,Doctor visit,2023-07-06T07:15:00
income,584.88,Salary,Project payment,2023-09-26T04:21:00
income,1002.96,Salary,,2023-06-20T00:25:00
expense,495.92,Misc,,2023-04-19T20:37:00
income,1586.29,Investment,Monthly salary,2024-11-12T20:33:00
expense,251.87,Entertainment,Grocery shopping,2023-08-25T12:44:00
income,4674.4,Investment,Monthly salary,2023-03-26T09:18:00
income,3002.82,Gift,Stock dividends,2024-02-26T19:17:00
income,2961.09,Freelance,Stock dividends,2023-02-09T23:43:00
income,4827.42,Investment,Birthday gift,2024-09-28T22:04:00
expense,267.4,Healthcare,Electricity bill,2024-12-20T06:28:00
expense,54.97,Rent,Monthly rent,2024-07-20T17:45:00
expense,216.16,Utilities,Electricity bill,2023-09-01T21:48:00
income,3085.72,Salary,Monthly salary,2024-07-24T22:57:00
expense,90.84,Transportation,Movie tickets,2024-12-28T03:44:00
expense,152.93,Rent,Electricity bill,2024-12-10T09:50:00
expense,206.22,Utilities,Grocery shopping,2024-06-27T03:04:00
income,1529.71,Investment,Stock dividends,2024-11-23T01:49:00
expense,451.37,Transportation,Grocery shopping,2024-06-18T08:14:00
income,4565.33,Freelance,Annual bonus,2024-06-25T13:09:00
income,2453.37,Freelance,,2023-12-25T13:57:00
expense,422.69,Food,Monthly rent,2023-01-22T18:22:00
expense,235.94,Food,Electricity bill,2024-03-25T04:46:00
expense,288.42,Transportation,Bus fare,2023-01-31T12:27:00
expense,82.1,Transportation,Doctor visit,2023-09-06T07:30:00
expense,87.27,Rent,Movie tickets,2023-01-30T14:47:00
income,4255.14,Gift,Stock dividends,2024-07-16T17:45:00
expense,327.31,Food,Doctor visit,2023-10-23T11:59:00
income,3378.85,Investment,Birthday gift,2023-12-07T18:09:00
income,4311.43,Bonus,Monthly salary,2024-04-28T18:19:00
income,1037.63,Gift,,2023-08-21T01:59:00
income,1609.76,Bonus,Annual bonus,2024-05-14T09:14:00
income,1894.35,Gift,Stock dividends,2024-11-14T21:47:00
income,3867.82,Salary,Annual bonus,2023-11-07T16:10:00
expense,316.18,Food,Electricity bill,2023-06-22T09:11:00
expense,149.25,Misc,Monthly rent,2023-06-21T08:51:00
income,1915.53,Bonus,Project payment,2024-05-29T02:43:00
expense,150.61,Transportation,Doctor visit,2024-07-22T10:13:00
expense,337.28,Transportation,Grocery shopping,2024-01-22T08:36:00
expense,82.31,Entertainment,,2024-01-13T16:33:00
expense,272.55,Utilities,Monthly rent,2024-12-11T12:26:00
expense,326.36,Misc,Bus fare,2023-11-06T11:22:00
expense,160.12,Entertainment,Movie tickets,2023-08-08T07:41:00
expense,327.97,Transportation,Movie tickets,2024-01-24T00:42:00
expense,52.28,Transportation,Bus fare,2024-06-29T09:11:00
income,2550.34,Bonus,Project payment,2024-11-13T18:53:00
income,3531.39,Bonus,,2024-03-24T04:59:00
expense,125.16,Food,Grocery shopping,2023-03-16T17:43:00
expense,170.74,Transportation,Doctor visit,2024-09-28T15:00:00
income,1096.31,Bonus,,2024-02-22T07:46:00
income,1846.43,Freelance,Project payment,2023-06-27T06:18:00
income,3086.43,Salary,Birthday gift,2024-08-24T01:11:00
income,2914.2,Bonus,,2023-09-20T22:32:00
income,2214.83,Bonus,,2024-12-20T02:48:00
expense,264.51,Misc,,2024-12-11T04:14:00
income,2325.91,Salary,Monthly salary,2024-01-17T22:01:00
income,668.2,Freelance,Stock dividends,2024-07-23T14:02:00
expense,162.13,Entertainment,Monthly rent,2023-08-02T13:32:00
expense,180.02,Food,Monthly rent,2024-07-17T17:54:00
income,1444.13,Investment,Annual bonus,2023-10-30T08:23:00
expense,63.67,Utilities,Bus fare,2024-07-28T23:51:00
income,4310.96,Investment,Birthday gift,2024-02-29T10:47:00
expense,404.45,Healthcare,Bus fare,2023-03-19T00:23:00
expense,65.05,Entertainment,Electricity bill,2023-08-22T19:02:00
income,1988.43,Gift,Project payment,2023-02-14T04:08:00
expense,92.05,Utilities,,2023-08-08T04:03:00
expense,362.98,Misc,Bus fare,2024-12-20T13:15:00
income,3738.03,Gift,Stock dividends,2023-03-15T21:58:00
expense,221.06,Entertainment,,2024-05-05T05:34:00
expense,340.95,Entertainment,Grocery shopping,2024-11-20T11:21:00
income,4451.99,Freelance,Stock dividends,2024-11-04T08:59:00
income,567.52,Salary,,2023-10-05T01:58:00
expense,195.16,Rent,Electricity bill,2023-05-20T17:17:00
income,3736.93,Salary,Annual bonus,2024-10-03T15:20:00
expense,204.84,Rent,Movie tickets,2024-09-02T11:07:00
income,1805.63,Freelance,Birthday gift,2024-12-17T20:57:00
income,2243.04,Bonus,Birthday gift,2023-05-22T07:37:00
expense,223.9,Misc,Electricity bill,2024-02-18T03:12:00
expense,287.45,Healthcare,,2024-03-24T15:12:00
income,1026.52,Gift,Project payment,2023-12-27T04:41:00
income,3201.8,Gift,Annual bonus,2023-08-17T05:32:00
income,1027.57,Investment,Stock dividends,2023-03-11T06:36:00
expense,124.11,Misc,Monthly rent,2024-08-23T00:20:00
income,3157.51,Bonus,Project payment,2023-07-04T23:44:00
income,1709.83,Investment,Stock dividends,2023-01-04T23:12:00
expense,98.08,Entertainment,Electricity bill,2024-02-25T02:56:00
income,827.39,Freelance,Project payment,2024-02-22T06:22:00
income,3418.05,Bonus,Project payment,2024-11-24T09:58:00
expense,193.89,Food,Grocery shopping,2023-11-26T13:56:00
expense,243.34,Entertainment,Grocery shopping,2024-12-31T21:17:00
income,2692.79,Bonus,Stock dividends,2023-01-08T14:19:00
expense,373.4,Transportation,,2024-03-06T05:19:00
income,4298.51,Gift,Project payment,2024-05-27T17:34:00
expense,253.06,Transportation,Bus fare,2023-07-21T20:51:00
income,2725.23,Freelance,Project payment,2023-05-14T16:18:00
income,1140.21,Freelance,Stock dividends,2024-08-29T14:30:00
income,3262.39,Gift,Birthday gift,2024-01-20T04:51:00
expense,83.9,Utilities,Bus fare,2024-01-06T06:25:00
income,4838.5,Bonus,Project payment,2023-01-10T19:24:00
income,2533.83,Gift,Monthly salary,2023-06-06T09:04:00
income,2945.13,Freelance,Annual bonus,2024-10-01T22:44:00
income,1633.58,Investment,Project payment,2023-05-12T18:25:00
income,1982.74,Salary,Monthly salary,2024-10-09T19:07:00
income,1912.43,Freelance,Birthday gift,2024-07-15T22:33:00
expense,409.53,Food,,2024-09-15T20:29:00
expense,128.41,Rent,Movie tickets,2023-11-27T13:59:00
income,4586.11,Salary,Birthday gift,2023-04-11T04:46:00
income,3343.16,Salary,Annual bonus,2023-11-25T23:54:00
expense,95.6,Utilities,Monthly rent,2023-06-12T21:45:00
expense,366.12,Food,Doctor visit,2023-12-11T02:56:00
expense,251.64,Utilities,Grocery shopping,2024-02-17T17:43:00
expense,460.17,Food,,2024-07-03T16:37:00
expense,84.2,Utilities,Monthly rent,2023-04-27T21:40:00
expense,87.89,Food,,2023-12-13T18:57:00
income,1242.79,Bonus,Monthly salary,2023-04-06T07:26:00
income,4211.21,Bonus,,2023-05-08T08:32:00
expense,61.51,Rent,Monthly rent,2023-05-09T02:17:00
income,3911.96,Investment,Stock dividends,2024-10-15T12:46:00
income,1400.55,Gift,,2023-09-16T10:13:00
expense,473.17,Misc,Movie tickets,2023-06-19T09:29:00
income,1721.92,Freelance,Stock dividends,2023-02-15T10:18:00
income,1780.45,Salary,Monthly salary,2023-09-28T02:30:00
income,3241.19,Gift,Stock dividends,2024-06-22T04:07:00
income,1917.07,Bonus,Stock dividends,2023-08-23T12:54:00
income,4066.27,Investment,Birthday gift,2023-12-01T03:16:00
income,4987.4,Bonus,Monthly salary,2024-01-13T18:53:00
income,1705.01,Salary,Annual bonus,2023-12-22T17:36:00
income,1147.84,Salary,Annual bonus,2024-11-22T20:25:00
expense,118.91,Utilities,Grocery shopping,2023-12-10T15:57:00
expense,280.15,Utilities,Doctor visit,2024-10-25T04:16:00
income,3348.91,Investment,Stock dividends,2023-10-22T23:26:00
income,1921.04,Bonus,Stock dividends,2023-06-15T09:39:00
expense,113.05,Healthcare,Doctor visit,2023-08-16T10:30:00
income,2137.12,Bonus,Stock dividends,2023-08-19T22:14:00
expense,476.0,Entertainment,,2024-08-17T01:39:00
income,1501.08,Salary,Birthday gift,2023-02-16T06:50:00
expense,58.85,Transportation,Bus fare,2024-10-12T04:41:00
income,2537.76,Bonus,,2023-10-26T08:53:00
income,2834.69,Salary,Birthday gift,2023-01-22T19:32:00
income,1732.88,Freelance,Stock dividends,2023-03-29T01:50:00
income,2902.0,Freelance,Stock dividends,2024-03-27T04:56:00
expense,413.43,Misc,Bus fare,2023-01-24T00:51:00
expense,295.38,Healthcare,Doctor visit,2023-02-09T22:52:00
expense,337.24,Food,Electricity bill,2023-05-24T15:38:00
income,2834.48,Bonus,,2023-04-12T18:25:00
income,1717.83,Gift,Annual bonus,2023-06-23T21:48:00
income,1766.99,Investment,Annual bonus,2023-04-05T03:50:00
income,858.64,Investment,,2024-05-29T04:15:00
expense,431.76,Rent,Grocery shopping,2024-06-28T07:56:00
income,941.54,Salary,Monthly salary,2024-04-22T00:02:00
income,1208.67,Investment,Project payment,2024-01-21T20:45:00
expense,419.34,Food,Electricity bill,2024-12-07T03:01:00
expense,27.63,Misc,Bus fare,2024-01-12T13:11:00
expense,316.47,Misc,,2023-11-29T03:50:00
income,2800.41,Freelance,Birthday gift,2024-09-20T21:17:00
expense,159.66,Healthcare,Bus fare,2024-12-10T18:44:00
income,1535.84,Freelance,,2024-03-08T02:16:00
income,4574.04,Freelance,,2023-05-16T15:07:00
expense,284.54,Transportation,,2023-12-04T14:22:00
income,2420.14,Investment,Birthday gift,2024-12-16T00:50:00
income,4192.16,Freelance,,2023-07-29T07:42:00
expense,121.12,Transportation,Doctor visit,2023-03-17T03:31:00
income,3532.26,Investment,Project payment,2024-03-20T02:25:00
income,811.96,Bonus,Annual bonus,2023-07-15T04:57:00
expense,442.79,Transportation,Bus fare,2024-05-12T01:43:00
expense,221.45,Entertainment,Monthly rent,2023-09-16T17:30:00
